,open,high,low,close,volume,Ticker,Date
280224,161.33,161.385,161.18,161.185,578937,AAPL,2023-04-11 15:35:00
280225,161.18,161.21,160.88,160.94,804006,AAPL,2023-04-11 15:40:00
280226,160.945,160.95,160.74,160.88,804146,AAPL,2023-04-11 15:45:00
280227,160.88,160.915,160.741,160.81,646974,AAPL,2023-04-11 15:50:00
280228,160.805,160.85,160.63,160.84,1031283,AAPL,2023-04-11 15:55:00
280229,160.83,160.84,160.55,160.8,2443551,AAPL,2023-04-11 16:00:00
280230,160.79,160.88,160.77,160.78,1686094,AAPL,2023-04-11 16:05:00
280231,160.76,160.85,160.71,160.78,343140,AAPL,2023-04-11 16:10:00
280232,160.79,160.83,160.78,160.8299,52653,AAPL,2023-04-11 16:15:00
280233,160.82,160.84,160.82,160.83,3751,AAPL,2023-04-11 16:20:00
280234,160.83,160.85,160.82,160.8479,6626,AAPL,2023-04-11 16:25:00
280235,160.82,160.83,160.82,160.83,2493,AAPL,2023-04-11 16:30:00
280236,160.83,160.86,160.83,160.83,9219,AAPL,2023-04-11 16:35:00
280237,160.83,160.85,160.8,160.83,14246,AAPL,2023-04-11 16:40:00
280238,160.84,160.87,160.83,160.86,4685,AAPL,2023-04-11 16:45:00
280239,160.83,160.84,160.83,160.83,2213,AAPL,2023-04-11 16:50:00
280240,160.83,160.85,160.82,160.84,4893,AAPL,2023-04-11 16:55:00
280241,160.83,160.8399,160.8,160.8,1165954,AAPL,2023-04-11 17:00:00
280242,160.81,160.81,160.8,160.8,1535,AAPL,2023-04-11 17:05:00
